
Especie                       ;   Título;        Inver;F.Vcto    ;          Vlr Nominal;Facial         ;Mod;Desde     ;Hasta     ;       Vlr Mer. Ant;       Vlr Mer. Hoy;         Adeudados;      Causación Mer;      Causación TIR;ISIN/Nemotécnic;Mét     ;     Precio;Marg.Efec.;   TIR.Mercado;Moned;        Mnd Val An;           Mnd Val; Dif.cambio;   Causación Moneda;     Causación Tasa;   Dias;Por  ;Est     
------------------------------;---------;-------------;----------;---------------------;---------------;---;----------;----------;-------------------;-------------------;------------------;-------------------;-------------------;---------------;--------;-----------;----------;--------------;-----;------------------;------------------;-----------;-------------------;-------------------;-------;-----;----    
Cash Bancol Panama en US$     ;   904973;       465708;2026/06/01;          78,640.4161;.00000001-Nomin;DV ;2026/02/13;2026/02/14;     287,264,789.57;     287,264,789.57;               .00;                .00;                .00;SK$CL7EDE095   ;QSI     ;           ;          ;     .00000001;US$  ;      3,652.890000;      3,652.890000;    .000000;                .00;                .00;    107;21-D ;Pend    
Cash Citibank en US$          ;  1026117;       556373;2026/06/01;           1,268.3400;.00000010-Nomin;DV ;2026/02/13;2026/02/14;       4,633,106.50;       4,633,106.50;               .00;                .00;                .00;SK$AAY8USD01   ;QSI     ;           ;          ;     .00000001;US$  ;      3,652.890000;      3,652.890000;    .000000;                .00;                .00;    107;21-D ;Pend    
FCPD SKANDIA ALTERNATIVO A    ;   946363;       495000;2026/06/01;         426,450.3745;.00000001-Nomin;DV ;2026/02/13;2026/02/14;   6,378,789,528.05;   6,378,789,528.05;               .00;                .00;                .00;SKESJWXFCP01   ;QSI     ;           ;          ;     .00000001;ESJWX;     14,957.870621;     14,957.870621;    .000000;                .00;                .00;    107;21-E ;Reci    
FCPE UNOMAS COL IV D 093      ;  1135215;       632216;2026/06/01;         350,000.0000;.00000010-Nomin;DV ;2026/02/13;2026/02/14;   3,827,072,147.85;   3,827,072,147.85;               .00;                .00;                .00;COR5OPT00259   ;QSI     ;           ;          ;     .00000001;ESY0O;     10,934.491851;     10,934.491851;    .000000;                .00;                .00;    107;21-E ;Reci    
FIC Efectivo Participacion A  ;   598029;       268313;2026/06/01;         844,715.1515;.00000001-Nomin;DV ;2026/02/13;2026/02/14;   3,665,575,082.19;   3,665,575,082.19;               .00;                .00;                .00;SKEIBMSFC011   ;QSI     ;           ;          ;     .00000001;EIBMS;      4,339.421491;      4,339.421491;    .000000;                .00;                .00;    107;21-E ;Reci    
TES Tasa Fija $               ;  1052462;       575529;2026/08/26;   3,000,000,000.0000;7.50000000-Nomi;AV ;2026/02/13;2026/02/14;   3,045,870,000.00;   3,046,560,000.00;               .00;         690,000.00;         663,380.94;TFIT15260826   ;QES-SI  ; 101.552000;          ;   11.36538619;$    ;          1.000000;          1.000000;    .000000;                .00;         690,000.00;    193;21-F ;Reci    
TES Tasa Fija $               ;  1058192;       579729;2026/08/26;   3,000,000,000.0000;7.50000000-Nomi;AV ;2026/02/13;2026/02/14;   3,045,870,000.00;   3,046,560,000.00;               .00;         690,000.00;         682,876.89;TFIT15260826   ;QES-SI  ; 101.552000;          ;   11.36538619;$    ;          1.000000;          1.000000;    .000000;                .00;         690,000.00;    193;21-F ;Reci    
TES Tasa Fija $               ;  1093768;       604264;2026/08/26;   1,000,000,000.0000;7.50000000-Nomi;AV ;2026/02/13;2026/02/14;   1,015,290,000.00;   1,015,520,000.00;               .00;         230,000.00;         256,943.63;TFIT15260826   ;QES-SI  ; 101.552000;          ;   11.36538619;$    ;          1.000000;          1.000000;    .000000;                .00;         230,000.00;    193;21-F ;Reci    
TES Tasa Fija $               ;  1064341;       583801;2027/11/03;   2,000,000,000.0000;5.75000000-Nomi;AV ;2026/02/13;2026/02/14;   1,828,640,000.00;   1,829,260,000.00;               .00;         620,000.00;         469,557.32;TFIT08031127   ;QES-SI  ;  91.463000;          ;   12.64829518;$    ;          1.000000;          1.000000;    .000000;                .00;         620,000.00;    627;21-F ;Reci    
TES Tasa Fija $               ;  1109320;       614961;2026/08/26;   1,000,000,000.0000;7.50000000-Nomi;AV ;2026/02/13;2026/02/14;   1,015,290,000.00;   1,015,520,000.00;               .00;         230,000.00;         243,310.88;TFIT15260826   ;QES-SI  ; 101.552000;          ;   11.36538619;$    ;          1.000000;          1.000000;    .000000;                .00;         230,000.00;    193;21-F ;Reci    
TES Tasa Fija $               ;  1109311;       614955;2026/08/26;   3,500,000,000.0000;7.50000000-Nomi;AV ;2026/02/13;2026/02/14;   3,553,515,000.00;   3,554,320,000.00;               .00;         805,000.00;         800,121.22;TFIT15260826   ;QES-SI  ; 101.552000;          ;   11.36538619;$    ;          1.000000;          1.000000;    .000000;                .00;         805,000.00;    193;21-F ;Reci    
TES Tasa Fija $               ;  1109312;       614956;2026/08/26;   3,500,000,000.0000;7.50000000-Nomi;AV ;2026/02/13;2026/02/14;   3,553,515,000.00;   3,554,320,000.00;               .00;         805,000.00;         800,121.22;TFIT15260826   ;QES-SI  ; 101.552000;          ;   11.36538619;$    ;          1.000000;          1.000000;    .000000;                .00;         805,000.00;    193;21-F ;Reci    
TES Tasa Fija $               ;  1099360;       608084;2028/04/28;   3,000,000,000.0000;6.00000000-Nomi;AV ;2026/02/13;2026/02/14;   2,768,460,000.00;   2,769,390,000.00;               .00;         930,000.00;         761,845.02;TFIT16280428   ;QES-SI  ;  92.313000;          ;   12.83759764;$    ;          1.000000;          1.000000;    .000000;                .00;         930,000.00;    804;21-F ;Reci    
